wpm,filler_count,filler_rate,pause_count,pause_rate,avg_pause_duration,speech_rate_std,pitch_mean,pitch_std,energy_mean,energy_std,silence_ratio,duration,label,label_name
129.09,3,4.9261,5,8.2101,0.95,15.4123,181.01,22.63,0.057012,0.010996,0.0956,36.54,2,Good
140.86,0,0.0,5,2.5633,0.6132,12.1535,197.47,21.18,0.091249,0.029998,0.0744,117.03,2,Good
115.77,4,5.0704,5,6.3379,0.9052,43.4239,193.07,42.22,0.047789,0.04236,0.2701,47.33,1,Average
216.27,14,19.4103,22,30.502,2.7714,94.9162,134.84,84.62,0.046555,0.058304,0.3269,43.28,0,Poor
141.34,1,1.7954,3,5.3863,1.0534,6.8723,203.54,21.89,0.110167,0.038321,0.0723,33.42,2,Good
147.08,1,0.7712,5,3.8562,0.6525,19.8205,176.32,32.21,0.051244,0.024568,0.0541,77.8,2,Good
137.41,4,5.2932,7,9.2632,1.2357,42.4297,135.33,50.28,0.061868,0.021669,0.2227,45.34,1,Average
170.27,5,5.3465,11,11.7624,1.4324,40.648,154.76,63.6,0.074098,0.031503,0.1763,56.11,1,Average
238.73,22,81.5093,16,59.2795,2.8021,97.8645,265.8,104.84,0.034683,0.08694,0.6378,16.19,0,Poor
153.05,5,3.0198,7,4.2277,1.2818,40.0018,140.61,52.2,0.071315,0.050799,0.1876,99.34,1,Average
145.06,2,1.2492,3,1.8738,0.8338,15.3158,197.82,32.31,0.050755,0.018982,0.1038,96.06,2,Good
223.76,24,42.3469,18,31.7601,3.1978,88.4044,189.66,65.22,0.034541,0.086947,0.5609,34.0,0,Poor
152.95,2,1.0357,2,1.0357,0.5011,14.546,144.09,21.44,0.044762,0.028114,0.153,115.86,2,Good
85.15,12,13.6005,11,12.4672,1.7069,93.2164,201.35,69.89,0.027619,0.102208,0.4681,52.94,0,Poor
132.17,5,4.0068,11,8.8149,1.8078,29.5958,195.78,53.51,0.032913,0.038112,0.2169,74.87,1,Average
148.96,0,0.0,2,1.2411,0.5465,13.0095,151.37,15.29,0.073763,0.018851,0.1229,96.69,2,Good
131.11,0,0.0,2,1.0461,1.1863,6.0125,181.5,19.48,0.117654,0.013399,0.1105,114.71,2,Good
155.16,0,0.0,4,7.4389,0.8013,9.7542,174.77,34.35,0.088154,0.036776,0.1165,32.26,2,Good
145.32,8,12.4784,6,9.3588,1.1996,36.7372,259.12,56.47,0.059045,0.056533,0.243,38.47,1,Average
146.05,5,5.3562,5,5.3562,1.5367,21.6663,187.76,36.01,0.07162,0.045611,0.286,56.01,1,Average
249.63,15,75.6511,16,80.6945,2.1347,55.7862,191.21,95.7,0.02366,0.085555,0.6106,11.9,0,Poor
105.76,3,8.9559,11,32.8382,0.9502,37.1391,174.55,38.02,0.054412,0.02321,0.2664,20.1,1,Average
148.52,1,1.2916,5,6.4582,1.0327,19.2616,196.2,22.45,0.048429,0.033455,0.1466,46.45,2,Good
121.93,1,0.8014,4,3.2055,0.8503,11.4909,176.62,20.22,0.069497,0.021094,0.0579,74.87,2,Good
164.72,4,7.9183,7,13.857,1.0744,42.7175,110.17,52.25,0.072965,0.032934,0.1886,30.31,1,Average
42.07,23,29.3998,20,25.5651,3.7978,58.9145,232.99,64.53,0.014142,0.057345,0.4031,46.94,0,Poor
156.84,2,2.9083,2,2.9083,1.1032,9.1111,204.57,19.88,0.067627,0.020068,0.1968,41.26,2,Good
127.54,3,3.6496,3,3.6496,0.5713,5.1248,174.69,17.32,0.099871,0.037436,0.1151,49.32,2,Good
140.51,8,5.3281,9,5.9941,0.9268,36.0207,142.41,54.78,0.065514,0.027601,0.1623,90.09,1,Average
152.18,3,1.8755,3,1.8755,1.1702,5.1329,219.83,31.92,0.106278,0.018839,0.0521,95.97,2,Good
51.61,23,17.7882,14,10.8276,3.751,79.8206,154.59,80.95,0.044928,0.111769,0.6105,77.58,0,Poor
98.68,3,1.8863,6,3.7725,1.3251,26.3668,236.13,31.54,0.083123,0.043074,0.2774,95.43,1,Average
43.33,21,111.7464,12,63.8551,3.0456,63.5105,224.26,83.12,0.042489,0.06725,0.3912,11.28,0,Poor
73.72,23,28.3383,19,23.4099,3.5234,89.5562,270.76,114.79,0.033124,0.080121,0.5794,48.7,0,Poor
120.22,2,3.4828,5,8.7071,0.5257,6.6204,167.11,35.06,0.085764,0.02538,0.094,34.45,2,Good
156.63,5,12.8975,8,20.636,1.6779,22.0407,119.05,39.88,0.031168,0.063589,0.1938,23.26,1,Average
69.09,17,29.066,18,30.7757,3.7874,91.7521,178.88,65.72,0.025395,0.093507,0.5331,35.09,0,Poor
153.18,16,12.6176,24,18.9264,1.6104,77.3545,299.86,93.35,0.031027,0.065028,0.3422,76.08,0,Poor
88.05,24,20.9659,11,9.6094,1.5921,52.3619,83.01,64.52,0.043044,0.082748,0.5625,68.68,0,Poor
76.57,16,39.3594,18,44.2794,1.5116,63.3425,167.6,92.24,0.055592,0.067708,0.4214,24.39,0,Poor
206.86,8,6.665,19,15.8293,3.6917,67.9628,181.63,119.42,0.005013,0.054838,0.4344,72.02,0,Poor
240.5,24,114.6636,23,109.8859,3.5914,77.3099,144.69,102.84,0.034021,0.082756,0.4684,12.56,0,Poor
142.87,3,1.5206,4,2.0275,0.5085,15.1103,144.15,28.72,0.063011,0.019203,0.1029,118.37,2,Good
177.59,18,15.3006,15,12.7505,3.9377,71.9912,239.04,109.25,0.044515,0.082803,0.4668,70.59,0,Poor
225.65,11,29.0302,22,58.0603,1.6888,86.4285,139.91,113.85,0.033962,0.10406,0.6426,22.73,0,Poor
151.78,24,79.2571,24,79.2571,2.6789,67.6513,156.75,115.77,0.050684,0.117202,0.3435,18.17,0,Poor
138.51,3,4.6838,5,7.8063,1.1045,13.831,170.03,22.14,0.056258,0.032854,0.108,38.43,2,Good
158.45,1,1.8301,5,9.1507,0.7383,13.1211,152.33,28.84,0.083336,0.032857,0.175,32.78,2,Good
117.26,8,12.5012,9,14.0638,1.0404,41.7031,217.24,52.51,0.053007,0.047162,0.1818,38.4,1,Average
143.22,3,1.5003,2,1.0002,0.9384,12.3335,172.14,39.85,0.110425,0.028702,0.1354,119.97,2,Good
144.1,5,12.1536,9,21.8765,1.6951,44.5492,141.48,63.01,0.056421,0.038673,0.1745,24.68,1,Average
103.0,3,2.2799,6,4.5599,1.3675,33.384,136.77,42.49,0.036117,0.030309,0.2776,78.95,1,Average
149.51,0,0.0,4,2.7598,0.6,16.3014,201.51,31.46,0.101289,0.035378,0.142,86.96,2,Good
199.17,24,64.1068,13,34.7245,2.6475,75.6518,269.34,92.1,0.015145,0.063968,0.4085,22.46,0,Poor
127.97,2,3.4781,5,8.6952,0.5096,8.7256,157.15,21.77,0.059805,0.011876,0.1188,34.5,2,Good
134.84,0,0.0,5,2.5009,1.1894,16.3137,171.46,29.77,0.092881,0.012354,0.1317,119.96,2,Good
178.45,9,24.8935,13,35.9573,1.6625,67.0869,264.32,73.83,0.050685,0.049627,0.3164,21.69,0,Poor
113.76,19,61.8232,11,35.7924,3.7125,74.1646,177.03,84.27,0.036484,0.104318,0.4884,18.44,0,Poor
158.54,4,2.4429,7,4.275,1.7435,25.0341,148.79,36.59,0.043115,0.057838,0.2539,98.24,1,Average
43.41,21,19.1765,21,19.1765,3.7165,46.5189,207.35,86.31,0.041961,0.066252,0.3543,65.71,0,Poor
144.83,1,0.6265,5,3.1324,0.5276,12.1332,183.44,20.69,0.117122,0.037284,0.1583,95.77,2,Good
47.34,23,64.9482,20,56.4767,1.7197,89.3226,92.24,110.54,0.00784,0.041459,0.5439,21.25,0,Poor
46.76,22,61.1998,18,50.0726,3.9672,87.4735,123.72,60.33,0.04985,0.096549,0.5552,21.57,0,Poor
152.01,8,19.5261,10,24.4077,1.5323,23.3839,222.71,56.28,0.086963,0.023448,0.1614,24.58,1,Average
99.18,7,5.3792,7,5.3792,1.9582,32.2099,132.6,43.7,0.048939,0.057909,0.2987,78.08,1,Average
248.73,12,16.6697,19,26.3937,3.4084,89.3802,156.19,87.88,0.040738,0.043845,0.6322,43.19,0,Poor
84.56,24,29.5727,24,29.5727,3.909,91.9155,144.78,83.11,0.051813,0.065354,0.3593,48.69,0,Poor
150.81,2,1.9019,2,1.9019,0.6859,5.2633,163.46,34.33,0.081437,0.020443,0.1058,63.1,2,Good
133.85,20,16.9719,15,12.7289,2.8315,58.3359,139.23,82.64,0.006104,0.065766,0.374,70.71,0,Poor
113.99,6,8.5597,11,15.6928,1.8875,26.2387,150.79,60.38,0.051482,0.058836,0.1631,42.06,1,Average
140.52,6,16.3883,7,19.1196,1.7858,29.2958,232.82,40.1,0.020072,0.027947,0.2437,21.97,1,Average
145.82,3,2.1984,8,5.8624,1.9638,31.3447,145.41,32.94,0.031883,0.045989,0.2174,81.88,1,Average
137.62,0,0.0,2,1.1493,0.6362,5.8647,167.4,21.76,0.117313,0.026731,0.1021,104.41,2,Good
107.41,7,5.7716,8,6.5961,1.8447,25.9699,177.69,69.4,0.074041,0.021358,0.163,72.77,1,Average
93.34,5,5.3404,9,9.6127,0.9063,22.5827,197.7,57.53,0.047817,0.043995,0.2872,56.18,1,Average
154.26,2,1.2143,5,3.0357,0.8935,19.2064,179.7,24.51,0.053043,0.033586,0.1602,98.82,2,Good
81.69,21,29.3197,10,13.9617,2.7119,73.1852,243.17,101.93,0.02714,0.057442,0.5258,42.97,0,Poor
238.18,17,51.5118,20,60.6021,3.75,93.064,211.43,96.03,0.041577,0.05403,0.62,19.8,0,Poor
